word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
liked,0.0,1.0,5.0,2.0,2.0,107.0,17.0,21.0,29.0,23.0,17.0,0.0,0.0,0.0,0.0,0.649,0.0,0.351,0.7506,0.41079999999999994,0.040600000000000004,0.5486,0.41356000000000004,0.4475,0.0,0.5525,0.4215,0.38549999999999995,0.0,0.6145,0.4215,0.0,0.0,0.0,10.0,0.0,0.047619047619047616,0.1724137931034483,0.08695652173913043,0.11764705882352941,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,v,0.0,0.047619047619047616,0.1724137931034483,0.08695652173913043,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,loyalty.virtue
successor,2.0,2.0,9.0,2.0,2.0,192.0,35.0,43.0,46.0,30.0,38.0,0.3145,0.0,0.6855,0.2263,0.5355000000000001,0.0,0.46449999999999997,0.33335000000000004,0.46077777777777773,0.08777777777777779,0.45133333333333336,0.2893666666666667,0.35950000000000004,0.05,0.5905,0.47685,0.3315,0.0,0.6685,0.2263,0.0,0.0,0.0,17.0,0.05714285714285714,0.046511627906976744,0.1956521739130435,0.06666666666666667,0.05263157894736842,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.2263,n,0.05714285714285714,0.046511627906976744,0.1956521739130435,0.06666666666666667,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,loyalty.virtue
effective,15.0,9.0,4.0,11.0,10.0,487.0,100.0,109.0,80.0,115.0,83.0,0.3940666666666667,0.17560000000000003,0.4304,0.22282666666666665,0.37966666666666665,0.11299999999999999,0.5073333333333333,0.38756666666666667,0.359,0.10075,0.54025,0.376675,0.39136363636363636,0.12963636363636366,0.4789090909090909,0.2422272727272727,0.4106000000000001,0.1356,0.45389999999999986,0.3848,0.0,0.0,0.0,49.0,0.15,0.08256880733944955,0.05,0.09565217391304348,0.12048192771084337,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",0.4767,a,0.15,0.08256880733944955,0.05,0.09565217391304348,0.12048192771084337,0.0,0.0,0.0,0.0,0.0,care.virtue
agreement,13.0,20.0,27.0,11.0,7.0,930.0,199.0,219.0,224.0,138.0,150.0,0.40938461538461546,0.18984615384615383,0.4007692307692307,0.1832307692307692,0.44700000000000006,0.12835000000000002,0.42475000000000007,0.39254,0.5156666666666668,0.11811111111111111,0.36625925925925923,0.47622222222222227,0.43309090909090914,0.18654545454545454,0.3803636363636364,0.2719,0.5,0.16342857142857145,0.3365714285714286,0.45001428571428564,0.0,0.0,0.0,78.0,0.06532663316582915,0.091324200913242,0.12053571428571429,0.07971014492753623,0.04666666666666667,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",0.4939,n,0.06532663316582915,0.091324200913242,0.12053571428571429,0.07971014492753623,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,loyalty.virtue
fit,2.0,3.0,2.0,4.0,5.0,208.0,59.0,31.0,36.0,48.0,36.0,0.35,0.211,0.439,-0.02554999999999996,0.31233333333333335,0.14066666666666666,0.547,0.12380000000000002,0.3785,0.1945,0.427,0.3586,0.33475,0.11925,0.546,0.3835,0.32699999999999996,0.2752,0.3976,0.0040200000000000105,0.0,0.0,0.0,16.0,0.03389830508474576,0.0967741935483871,0.05555555555555555,0.08333333333333333,0.1388888888888889,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,v,0.03389830508474576,0.0967741935483871,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,sanctity.virtue
expand,15.0,8.0,14.0,12.0,8.0,419.0,85.0,92.0,86.0,75.0,82.0,0.3468666666666666,0.04446666666666667,0.6086666666666667,0.30384,0.378375,0.0925,0.529125,0.26175,0.4704285714285715,0.079,0.4505714285714285,0.4037071428571428,0.4190833333333333,0.11966666666666666,0.46124999999999994,0.2865166666666667,0.38025000000000003,0.020625,0.599125,0.503575,0.0,0.0,0.0,57.0,0.17647058823529413,0.08695652173913043,0.16279069767441862,0.16,0.0975609756097561,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182,v,0.17647058823529413,0.08695652173913043,0.16279069767441862,0.16,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,care.virtue
killing,53.0,29.0,27.0,16.0,28.0,699.0,138.0,164.0,134.0,141.0,123.0,0.022358490566037736,0.5904150943396226,0.3872075471698112,-0.7686037735849057,0.03606896551724138,0.5945862068965517,0.3693793103448275,-0.7567965517241381,0.047296296296296295,0.5641481481481482,0.3885555555555556,-0.7162148148148151,0.07187500000000001,0.5855625,0.34249999999999997,-0.7234875000000001,0.011,0.6570714285714285,0.3319285714285714,-0.7883321428571429,0.0,0.0,0.0,153.0,0.38405797101449274,0.17682926829268292,0.20149253731343283,0.11347517730496454,0.22764227642276422,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6597}",-0.6597,n,0.0,0.0,0.0,0.0,0.0,0.38405797101449274,0.17682926829268292,0.20149253731343283,0.11347517730496454,0.22764227642276422,care.vice
fatal,8.0,5.0,3.0,2.0,3.0,170.0,36.0,39.0,25.0,37.0,33.0,0.13924999999999998,0.4545,0.40625,-0.4888125,0.1834,0.4298,0.38680000000000003,-0.49396000000000007,0.0,0.5846666666666668,0.41533333333333333,-0.7230333333333334,0.1085,0.7,0.1915,-0.7291000000000001,0.07233333333333333,0.6336666666666667,0.294,-0.7387,0.0,0.0,0.0,21.0,0.2222222222222222,0.1282051282051282,0.12,0.05405405405405406,0.09090909090909091,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}",-0.5423,a,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1282051282051282,0.12,0.05405405405405406,0.09090909090909091,care.vice
fresh,2.0,7.0,5.0,3.0,8.0,242.0,45.0,43.0,48.0,50.0,57.0,0.5485,0.259,0.1925,0.12890000000000001,0.3021428571428571,0.10771428571428569,0.5902857142857142,0.28035714285714286,0.39780000000000004,0.1816,0.42060000000000003,0.18778,0.3113333333333333,0.19466666666666668,0.494,0.0778,0.39325000000000004,0.25375000000000003,0.35312499999999997,0.0284875,0.0,0.0,0.0,25.0,0.044444444444444446,0.16279069767441862,0.10416666666666667,0.06,0.14035087719298245,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182,a,0.044444444444444446,0.16279069767441862,0.10416666666666667,0.06,0.14035087719298245,0.0,0.0,0.0,0.0,0.0,fairness.virtue
cleared,5.0,2.0,2.0,0.0,0.0,71.0,19.0,13.0,11.0,11.0,17.0,0.2848,0.1416,0.5736,-0.12906,0.2975,0.094,0.608,0.12925,0.2875,0.09,0.6225,0.22135000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.2631578947368421,0.15384615384615385,0.18181818181818182,0.0,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",0.1027,v,0.2631578947368421,0.15384615384615385,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.virtue
prejudice,4.0,6.0,9.0,8.0,5.0,129.0,23.0,26.0,27.0,28.0,25.0,0.03825,0.5865,0.375,-0.747325,0.0,0.47983333333333333,0.5201666666666667,-0.6754333333333333,0.0,0.5075555555555555,0.4924444444444444,-0.7755444444444445,0.020375,0.48900000000000005,0.490625,-0.7429875,0.025,0.5174000000000001,0.45760000000000006,-0.7898799999999999,0.0,0.0,0.0,32.0,0.17391304347826086,0.23076923076923078,0.3333333333333333,0.2857142857142857,0.2,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,n,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.23076923076923078,0.3333333333333333,0.2857142857142857,0.2,loyalty.vice
